Name,Lyrics
ไม่เปลี่ยนเลย,ฉันคือคนเดียวบนโลกรึเปล่าที่ไม่ขอพรดาวบนฟ้า เพราะไม่เหลือเรื่องให้ปรารถนา แค่ฉันตื่นมาแล้วได้พบเธอ ทุกๆเช้าข้างกันเสมอ นอนก่ายขาเธอในตอนสาย ก็เหมือนฝันที่กลายเป็นจริงแล้ว โชคดีเหลือเกิน ที่เราได้เจอกัน โชคดีที่เธอ ยังยอมอยู่ข้างฉัน ไหนใครว่าเวลาเปลี่ยนไป หัวใจใครๆมักเปลี่ยนแปลง โชคดีเหลือเกิน ที่เรายังมีกัน ทุกช่วงเวลา เธอยังอยู่ข้างฉัน ไหนว่าผู้คนมักเปลี่ยนไป โชคดีที่หัวใจ ของเราไม่เคยเปลี่ยนเลย เราผ่านอะไรกันตั้งมากมาย เจอมาทั้งเรื่องดีเรื่องร้าย ก็ยังรักกันมาจนวันนี้ ทุกวินาทีต่อจากนี้ไป จนวันสุดท้ายของลมหายใจ ฉันนั้นก็ไม่กลัวอะไร ตราบที่ฉันและเธอไม่ปล่อยมือ โชคดีเหลือเกิน ที่เราได้เจอกัน โชคดีที่เธอ ยังยอมอยู่ข้างฉัน ไหนใครว่าเวลาเปลี่ยนไป หัวใจใครๆมักเปลี่ยนแปลง โชคดีเหลือเกิน ที่เรายังมีกัน ทุกช่วงเวลา เธอยังอยู่ข้างฉัน ไหนว่าผู้คนมักเปลี่ยนไป โชคดีที่หัวใจ ของเราไม่เคยเปลี่ยนเลย โชคดีเหลือเกิน ที่เราได้เจอกัน โชคดีที่เธอ ยังยอมอยู่ข้างฉัน ไหนใครว่าเวลาเปลี่ยนไป หัวใจใครๆมักเปลี่ยนแปลงโชคดีเหลือเกิน ที่เรายังมีกัน ทุกช่วงเวลา เธอยังอยู่ข้างฉัน ไหนว่าผู้คนมักเปลี่ยนไป โชคดีที่หัวใจ ของเราไม่เคยเปลี่ยนเลย
ดาวหางฮัลเลย์,จากวันนั้นฉันก็มองโลกไม่เหมือนเดิม สิ่งที่สวยงามในชีวิตพบเจอ คงไม่เหลือคุณค่าอีกแล้ว ถูกมาแทนด้วยดวงตาคู่นั้นของเธอ ปฏิทินจากนี้มีไว้เพื่อนับวัน นาฬิกามีไว้เฝ้าคอยนับนาที ของชีวิตฉันนับต่อจากนี้ ที่จะมีไว้เพื่อเธอเท่านั้น ขออยู่ในชีวิตที่เหลือของเธอได้ไหม อยากลืมตาแล้วได้พบเธอจนวันสุดท้าย อยากเป็นคนที่ได้นอนดูดาวข้างเธออีกหมื่นวัน และเอนไปจุมพิตเธอซักล้านครั้ง อยู่กับฉันไปนานๆ นะเธอ ยังมีเพลงรักเป็นพันบทเพลงรอแชร์ให้เธอได้ฟัง ยังมีอีกหลายทริปที่เรานั้นยังต้องไปเที่ยวด้วยกัน ไม่รวมอีกเรื่องที่ยังสำคัญ ลูกเราที่สักวันจะเกิดมา ด้วยพันธสัญญาความรักของเรา และมีดาวหางดวงนึงที่ยังโคจรในอวกาศ ในช่วงชีวิตจะมีหนึ่งครั้งที่มองเห็นได้ด้วยตา ดาวที่ฉันยังไม่เคยเห็นมาก่อน ขอให้ถึงวันนั้น ได้มีเธอรอดูมันด้วยกันกับฉัน
โกหก,ทุกถ้อยคำ พูดจา อ่อนหวาน ช่างเย้ายวนใจ อ่อนไหว คำหวาน ให้เราหลงใหล ปักใจ อยู่นาน ถ้อยคำที่ใช้ เมื่อใจต้องการ ทุกเวลา ต้องการ สิ่งไหน อยากใช้รีบมา ที่รัก ได้ไหม ก็ยอมทั้งนั้น ต้องการ อะไรก็จากวันนั้น ไม่เคย ใส่ใจ บอกว่ารักรักรักฉันโกหกทั้งนั้น วันนี้ทุกอย่างฉันรู้ ทันเธอ กลับเอาถ้อยคำทำร้ายใจ ครั้งนี้ฉันรู้ตัวเกือบจะสาย ความหมายที่เธอว่ารัก เป็นเพียงแค่การหลอกใช้กัน ฉันจะทนไม่ไหวแล้ว ฉันรักเธอ กว่าใคร ผ่านมา ก็แค่หัวใจ ที่ฉัน ใฝ่หา แต่เธอรู้ไหม ไม่เคย กลับมา และคำสุดท้าย คือคำบอกลา บอกว่ารัก รักรักฉันโกหกทั้งนั้น วันนี้ทุกอย่างฉันรู้ ทันเธอ กลับเอาถ้อยคำทำร้ายใจ ครั้งนี้ฉันรู้ตัวเกือบจะสาย ความหมายที่เธอว่ารัก เป็นเพียงแค่การหลอกใช้กัน ฉันจะทนไม่ไหวแล้ว ฉันรักเธอ กว่าใคร ผ่านมา ก็แค่หัวใจ ที่ฉัน ใฝ่หา แต่เธอรู้ไหม ไม่เคย กลับมา และคำสุดท้าย คือคำบอกลา บอกว่ารัก รักรักฉันโกหกทั้งนั้น วันนี้ทุกอย่างฉันรู้ ทันเธอ กลับเอาถ้อยคำทำร้ายใจ ครั้งนี้ฉันรู้ตัวเกือบจะสาย ความหมายที่เธอว่ารัก เป็นเพียงแค่การหลอกใช้กัน คำว่ารักกัน เธอกลับมาทำร้ายฉัน คำว่ารักกัน เธอกลับเอาคำนั้นทิ่มแทงหัวใจ
เผลอไป,ดึกแล้วเราก็ยังไม่กลับ นอนเราก็นอนไม่หลับ เกือบจะเวลาเช้า ในคืนที่เหน็บหนาว คุยกันถึงเรื่องเก่าๆ วันที่เราไม่เหลือใคร เย็นมือคล้ายๆ มันสั่น มองเธอแล้วใจยังหวั่น กอดสักทีได้ไหม แต่ก็ข่มใจไว้ ความจริงฉันคงไม่กล้า ปล่อยให้มันผ่านพ้นไป และช่วงเวลา ไม่รู้อะไร ที่มากดดันให้ฉันได้เฉลยในใจ ไม่กล้าจะเอ่ย ให้ฉันได้พูดไปอย่างนั้น ว่าฉันนั้นรักเธอ ก็ปากมันเผลอไป ในเวลาที่สองเราอ่อนไหว ได้ตัดสินใจพูดคำว่ารัก และฉันไม่รู้ตัว ได้แต่ยอมรับมัน เก็บคำบางคำซ่อนไว้ว่าใจฉันนั้นรักเธอ ฉันเผลอออกไป ต่อให้มองเธอเท่าไรไม่เบื่อ คุยกันเหมือนเราเป็นเพื่อน กอดสักทีได้ไหม แต่ต้องข่มใจไว้ เอาจริงๆ ฉันคงไม่กล้า ปล่อยให้มันผ่านพ้นไป
ฟ้า,คิดอยู่ ว่าต้องทนไหว จะทุกข์จะทนเท่าไร ความรักจะพาหัวใจไป คิดเอง ว่าต้องทนไหว แต่ยิ่งทุกข์ยิ่งทนเท่าไร ความรักที่มียิ่งหายไป จะโทษดิน จะโทษน้ำ จะโทษเดือนและดาว กับเรื่องราว ที่ปวดร้าว ที่เธอมาทำแล้วหนีไป ฟ้า ถ้าไม่ส่งมา ให้เธอมีใจ บอกกันสักคำเป็นไร ว่าเหตุใดต้องมาทำร้ายกัน จากนี้ เรื่องราวที่มี ก็ให้ลืมมันไป อย่าจำว่าเคยเป็นใคร ว่ามีใครที่เคยทำร้าย คนอย่างฉัน ทุกวัน จวบจนวันนี้ ชีวิตที่เราต้องมี จากนี้ต้องทำตัวเช่นไร น้ำตา ที่ยังรินไหล จากความรักที่มีทั้งใจ สุดท้ายเขานั้นหายไป ฟ้า ถ้าไม่ส่งมา ให้เธอมีใจ บอกกันสักคำเป็นไร ว่าเหตุใดต้องมาทำร้ายกัน จากนี้ เรื่องราวที่มี ก็ให้ลืมมันไป อย่าจำว่าเคยเป็นใคร ว่ามีใครที่เคยทำร้าย จบกันซักที จบกันแค่นี้ ไม่มีใคร มีแต่ฟ้า ที่มองมา เห็นน้ำตา จากนี้ไป โปรดเถิดฟ้า ถ้าไม่ส่งมา ให้เธอมีใจ ก็บอกกันได้ไหม เหตุใดต้องมาทำร้ายกัน จากนี้ เรื่องราวที่มี ก็ให้ลืมมันไป อย่าจำได้ไหม ว่ามีใครที่เคยทำร้าย ว่ามีใครที่มาทำร้าย คนอย่างฉัน
รักแรกพบ,มีจริงหรือ รักแรกพบเพียงสบตาแค่หนึ่งครั้ง แค่แรกเห็นเดินผ่านมาไม่พูดจา ไม่ทักไม่ทาย ไม่รู้ว่าใคร เหตุใดจึงรักกัน ไม่มีทาง เรื่องเพ้อฝันความผูกพันอย่างง่ายดาย รักแรกพบมีอยู่จริงในนิยาย หนังสือนิทาน เพลงรักแสนหวาน กับความฝัน แต่วันหนึ่งฉันผ่านมาพบเธอตรงนั้น ดวงใจ เป็นเดือดเป็นร้อนช่างทรมาน ราวกับโดนมนตร์แม่มดสะกดพลัน นาทีนั้น ฉันรักเธอทันใด รักแรกพบแท้จริงเป็นอย่างไร เพราะเธอใช่หรือไม่ เปิดใจใครที่ฉันเป็น จากวันนั้น หัวใจรู้สึกเอง ชัดเจนว่าทุกสิ่ง เกิดขึ้นจริงใช่ฝันไป ได้พบจึงเข้าใจ มีอยู่จริง มีเหตุผล กว่าจะรักใครสักคนไม่ง่ายดาย เรื่องลึกซึ้งความอ่อนบางของหัวใจ ว่าเขาเป็นใคร มาถึงเมื่อไร ไม่มีทางจะเข้าใจมันได้เลย สุดท้ายก็เข้าใจ มีอยู่จริง
การเดินทางที่สวยงาม,หยิบกุญแจขึ้นมา เตรียมตัวออกเดินทาง ไปกับรถคันเดิมคันโปรดเดินขึ้นมาก่อนใคร บนจุดหมายแสนไกล ไม่เคยกลัวอะไร และสิ่งสุดท้ายที่ขาดไม่ได้นั่นคือเธอคนนี้ เปรียบเธอดั่งมนต์วิเศษ เธอทำให้โลกของฉันหมุนไป เธอเปลี่ยนให้ฉันได้เห็นภาพใหม่ ที่ไม่มีใครได้เห็น การเดินทางครั้งนี้จะสวยงาม ขอเพียงเธอจับมือกับฉันไป การเดินทางครั้งนี้จะสดใส แค่เพียงเธอเดินไปกับฉัน การเดินทางครั้งนี้จะงดงาม ขอเพียงเธอนั่งไปกับฉัน จะไกลแค่ไหนหรืออันตราย แค่มีเธอข้างๆ กายจะไปเสมอ บนจุดหมายแสนไกล ไม่เคยกลัวอะไร ขอเพียงโลกนี้ มีแค่เพียงเธอ นั่งอยู่ข้างๆ ฉันไป เพราะเธอเป็นดั่งมนต์วิเศษ เธอทำให้โลกของฉันหมุนไป เธอเปลี่ยนให้ฉันได้เห็นภาพใหม่ ที่ไม่มีใครได้เห็น การเดินทางครั้งนี้จะสวยงาม ขอเพียงเธอจับมือกับฉันไป การเดินทางครั้งนี้จะสดใส แค่เพียงเธอเดินไปกับฉัน การเดินทางครั้งนี้จะงดงาม ขอเพียงเธอนั่งไปกับฉัน จะไกลแค่ไหนหรืออันตราย แค่มีเธอข้างๆ กายจะไปเสมอ จะไกลแค่ไหนหรืออันตราย แค่มีเธอข้างๆ กายจะไปเสมอ
ก้าวก่าย,ออกมาแล้ว ก็จบไปแล้ว โดยไม่ได้อยากจะสงสัย เธอเป็นยังไงไม่มีสิทธิ์ถาม ตัดไปแล้ว จบจริง ๆ แล้วครั้งนี้ นานมาแล้ว ก็ผ่านไปแล้ว แต่ในใจก็ดูจะยังลืมเธอให้จริงไม่ได้สักที อยู่ลำพัง แต่ตอนนี้เธอมีเขาอยู่ ฉันพยายามเปิดตัวเองให้หัวใจ ได้ลองรักใครใหม่ แบบที่เธอรักเขา ยิ่งอยากจะลืมเท่าไร ก็ยังมีแค่สองเรา อยากจะไปแต่ไปไม่ได้ ใจที่มันเดียวดาย รักแค่เพียงแต่เธอ อยากจะไปแต่ยังพร่ำเพ้อ ทรมานแม้เธอรักเขาแล้วหมดใจ อยากจะไปก็ไปไม่ได้ ใจก็ยังก้าวก่าย แม้ไม่ได้มีสิทธิ์จะรั้งเธอเอาไว้ อยากรักตัวเองให้ได้อย่างที่รักเธอ ก้าวออกมา เดินออกมา อย่าลองต่อรองกับเวลา ถ้าอยากไขว่คว้าที่จะหลุดพ้น แหลกและเหลว ดูไม่เหมือนใจของคน ฉันพยายามเปิดตัวเองให้หัวใจ ได้ลองรักใครใหม่ แบบที่เธอรักเขา ยิ่งอยากจะลืมเท่าไร ก็ยังมีแค่สองเรา อยากจะไปแต่ไปไม่ได้ ใจที่มันเดียวดาย รักแค่เพียงแต่เธอ อยากจะไปแต่ยังพร่ำเพ้อ ทรมานแม้เธอรักเขาแล้วหมดใจ อยากจะไปก็ไปไม่ได้ ใจก็ยังก้าวก่าย แม้ไม่ได้มีสิทธิ์จะรั้งเธอเอาไว้ อยากรักตัวเองให้ได้อย่างที่รักเธอ สุดทางยังยื้อไว้ บอกเป็นนัย ๆ ว่ายังรักให้รู้ ต้องเฝ้าดู แม้เขาอยู่ใช่ไหม อยากจะไปแต่ไปไม่ได้ ใจที่มันเดียวดาย รักแค่เพียงแต่เธอ อยากจะไปแต่ยังพร่ำเพ้อ ทรมานแม้เธอรักเขาแล้วหมดใจ อยากจะไปก็ไปไม่ได้ ใจก็ยังก้าวก่าย แม้ไม่ได้มีสิทธิ์จะรั้งเธอเอาไว้ ไม่ขออะไรให้วุ่นวาย อยากรักตัวเองให้ได้อย่างที่รักเธอ อยากจะไปแต่ไปไม่ได้ ใจที่มันเดียวดาย รักแค่เพียงแต่เธอ อยากจะไปแต่ยังพร่ำเพ้อ ทรมานแม้เธอรักเขาแล้วหมดใจ อยากจะไปก็ไปไม่ได้ ใจก็ยังก้าวก่าย แม้ไม่ได้มีสิทธิ์จะรั้งเธอเอาไว้ ไม่ขออะไรให้วุ่นวาย อยากรักตัวเองให้ได้อย่างที่รักเธอ
โคตรพิเศษ,ไม่เคยมีใครเลย ทำฉันเป็นได้อย่างนี้ วันคืนที่น่าเบื่อ มีชีวิตขึ้นทันที แค่มีเธอเข้ามา แค่นี้ก็รู้ว่า เธอคือพรุ่งนี้ที่ฉันรอ แววตาที่เธอมอง ทำหัวใจฉันสั่นไหว แค่คำธรรมดาทำฉันเพ้อลอยหลุดไป ทุกครั้งที่ต้องลา ทำใจฉันวุ่นวาย ให้ถึงพรุ่งนี้เลยได้ไหม ฝืนฉันฝืนไม่ได้แล้ว ไม่รู้ว่าถ้าฉันคิดไปเกินกว่านี้จะผิดไหม ยอมฉันยอมแพ้เธอไปแล้วไง ก็ยอมรับว่าใจมันมีเพียงแค่เธอ อยากสารภาพอยู่นะ แต่ต้องพูดว่าอะไร ฉันก็ไม่รู้ว่าใช่หรือเปล่า ใช่หรือเปล่า อาการแบบนี้ มันแปลว่าอะไร คงไม่จำเป็นที่เราต้องเข้าใจ รู้แค่เพียงมันโคตรพิเศษเลย ฉันเลือกที่จะเก็บแทนที่จะพูดออกไป ฉันเลือกที่จะปิด ดีกว่าเห็นเธอเปลี่ยนไป ความจริงที่ซ่อนอยู่ รู้ไหมยากเท่าไหร่ ที่ต้องเก็บไว้แค่คนเดียว
ดอกไม้ที่รอฝน,จำได้ไหมดอกไม้ดอกนั้นที่ฉันปลูกมันกับเธอ เมื่อวันที่เราอยู่ข้างกันฉันดูแลอยู่อย่างดีในทุกวัน แต่มันจะสวยเป็นพิเศษ เมื่อตอนที่ฝนพรำ จำได้ไหมอะไรที่เราชอบทำด้วยกันเมื่อวันเธออยู่กับฉันฉันยังทำแบบเดิมในทุกวัน แต่มันไม่เห็นมีความสุข เมื่อเราต้องไกลกัน ฝันฉันก็ซ้ำๆ ทุกวันมีเพียง ภาพเธอในนั้นได้แค่รอและรอวันที่ดอกไม้จะบานอีกครั้งมีคนคิดถึงเธอแล้วเธอรู้สึกได้หรือเปล่าคนที่คิดถึงเธอนั่งมองฟ้าและคิดถึงวันเก่ากี่ราตรีที่เลยผ่านแต่ละคืนช่างยาวนาน ทุกนาทีมันนาน ดั่งชั่วนิรันดร์มีคนคิดถึงเธอเขามีแค่เธอยามตื่นและฝัน ทรมานเหลือเกิน เมื่อไรจะวันนั้นวันที่เธอจะกลับมา วันที่ได้อยู่ข้างกันดอกไม้ที่รอฝน ก็เหมือนคนทางนี้ที่รอเธอ ก็เป็นแบบเดิมในทุกเช้า ใช้ชีวิตอีกวันและอีกวันไปด้วยความเหงา คิดยังคิดแค่เพียงแต่เรื่องเราแต่ไม่รู้ว่าเธอจะเป็นบ้างหรือเปล่าอยู่ที่ไหนก็แค่ในบางเวลาที่ฉันได้กลิ่นดอกไม้สมองมันยังเข้าใจว่าเธอยืนอยู่ทางซ้ายจิตใต้สำนึกบอกว่าเธอไม่ไปไหนฉันทรมานแบบที่เธอไม่เคยรู้ฝันฉันก็ซ้ำๆ ทุกวันมีเพียง ภาพเธอในนั้นได้แค่รอและรอวันที่ดอกไม้จะบานอีกครั้งมีคนคิดถึงเธอแล้วเธอรู้สึกได้หรือเปล่าคนที่คิดถึงเธอนั่งมองฟ้าและคิดถึงวันเก่า
